Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences
mixin.UnaryExpression,2,Class,mixin,UnaryExpression,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.AST_TypeNameListElem,2,Class,mixin,AST_TypeNameListElem,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.TName,2,Class,mixin,TName,,syntax,FALSE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.ShiftExprChoices,2,Class,mixin,ShiftExprChoices,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.True,2,Class,mixin,TRUE,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.BooleanLiteral,2,Class,mixin,BooleanLiteral,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.MoreAddExpr,2,Class,mixin,MoreAddExpr,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.QuestExpr,2,Class,mixin,QuestExpr,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.ConditionalExpression,2,Class,mixin,ConditionalExpression,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.Expression,2,Class,mixin,Expression,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.ConditionalOrExpression,2,Class,mixin,ConditionalOrExpression,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.ConDecl,2,Class,mixin,ConDecl,,syntax,FALSE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.ConstructorDeclaration,2,Class,mixin,ConstructorDeclaration,,syntax,FALSE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.AST_Modifiers,2,Class,mixin,AST_Modifiers,,syntax,FALSE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.AST_ParList,2,Class,mixin,AST_ParList,,syntax,FALSE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.AST_Stmt,2,Class,mixin,AST_Stmt,,syntax,FALSE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.ExplicitConstructorInvocation,2,Class,mixin,ExplicitConstructorInvocation,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.ThrowsClause,2,Class,mixin,ThrowsClause,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.IntLit,2,Class,mixin,IntLit,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.Literal,2,Class,mixin,Literal,,syntax,FALSE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.DefLabel,2,Class,mixin,DefLabel,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.SwitchLabel,2,Class,mixin,SwitchLabel,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.Mult,2,Class,mixin,Mult,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.MultExprChoices,2,Class,mixin,MultExprChoices,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.TildeLA,2,Class,mixin,TildeLA,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.CastLookaheadChoices,2,Class,mixin,CastLookaheadChoices,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.Eq,2,Class,mixin,Eq,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.EqExprChoices,2,Class,mixin,EqExprChoices,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.ThrowStm,2,Class,mixin,ThrowStm,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.ThrowStatement,2,Class,mixin,ThrowStatement,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.DimsElem,2,Class,mixin,DimsElem,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.Dim,2,Class,mixin,Dim,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.StatementExpression,2,Class,mixin,StatementExpression,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.TypeDeclaration,2,Class,mixin,TypeDeclaration,,syntax,FALSE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.AST_ArrayInitC,2,Class,mixin,AST_ArrayInitC,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.JakartaSST,2,Class,mixin,JakartaSST,,syntax,FALSE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
