Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences,User_comment,Member_modifier
mixin.AstOptNode,2,Class,mixin,AstOptNode,,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.ConSuper.checkForErrors(int stage; String file),4,Method,mixin,ConSuper,checkForErrors(int stage; String file),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.R4Feature,2,Class,mixin,R4Feature,,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.R4Feature.CommonError,3,Field,mixin,R4Feature,CommonError,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.Ute,2,Class,mixin,Ute,,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.Ute.withinRefines,3,Field,mixin,Ute,withinRefines,,FALSE,FALSE,,TRUE,FALSE,,,package-private
mixin.AstNode.error(AstTokenInterface t; String msg),4,Method,mixin,AstNode,error(AstTokenInterface t; String msg),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.ImportDeclaration,2,Class,mixin,ImportDeclaration,,,FALSE,FALSE,,FALSE,FALSE,,,public
mixin.ImportDeclaration.GetName(),4,Method,mixin,ImportDeclaration,GetName(),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.R4Feature.mixinbase,3,Field,mixin,R4Feature,mixinbase,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.AstNode.override(String msg; Object o),4,Method,mixin,AstNode,override(String msg; Object o),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.FldVarDec,2,Class,mixin,FldVarDec,,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.FieldDeclaration,2,Class,mixin,FieldDeclaration,,,FALSE,FALSE,,FALSE,FALSE,,,public
mixin.FldVarDec.ARG_LENGTH,3,Field,mixin,FldVarDec,ARG_LENGTH,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.FldVarDec.TOK_LENGTH,3,Field,mixin,FldVarDec,TOK_LENGTH,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.FldVarDec.getAST_Modifiers(),4,Method,mixin,FldVarDec,getAST_Modifiers(),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.AST_Modifiers,2,Class,mixin,AST_Modifiers,,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.FldVarDec.getAST_TypeName(),4,Method,mixin,FldVarDec,getAST_TypeName(),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.AST_TypeName,2,Class,mixin,AST_TypeName,,,FALSE,FALSE,,FALSE,FALSE,,,public
mixin.FldVarDec.getAST_VarDecl(),4,Method,mixin,FldVarDec,getAST_VarDecl(),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.AST_VarDecl,2,Class,mixin,AST_VarDecl,,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.FldVarDec.printorder(),4,Method,mixin,FldVarDec,printorder(),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.FldVarDec.setParms(AstOptNode arg0; AST_TypeName arg1; AST_VarDecl arg2; AstToken tok0),4,Method,mixin,FldVarDec,setParms(AstOptNode arg0; AST_TypeName arg1; AST_VarDecl arg2; AstToken tok0),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.ComposeAntTask,2,Class,mixin,ComposeAntTask,,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.ComposeAntTask.SourceFile,2,Class,mixin.ComposeAntTask,SourceFile,,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.ComposeAntTask.SourceFile.getFile(),4,Method,mixin.ComposeAntTask,SourceFile,getFile(),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.ComposeAntTask.SourceFile.file,3,Field,mixin.ComposeAntTask,SourceFile,file,,FALSE,FALSE,,TRUE,FALSE,,,private
mixin.ComposeAntTask.SourceFile.setName(File file),4,Method,mixin.ComposeAntTask,SourceFile,setName(File file),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.ComposeAntTask.addFile(SourceFile file),4,Method,mixin,ComposeAntTask,addFile(SourceFile file),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.ComposeAntTask.operands,3,Field,mixin,ComposeAntTask,operands,,FALSE,FALSE,,TRUE,FALSE,,,private
mixin.ComposeAntTask.addFilelist(FileList files),4,Method,mixin,ComposeAntTask,addFilelist(FileList files),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.ComposeAntTask.execute(),4,Method,mixin,ComposeAntTask,execute(),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.ComposeAntTask.outputFile,3,Field,mixin,ComposeAntTask,outputFile,,FALSE,FALSE,,TRUE,FALSE,,,private
mixin.ComposeAntTask.getFiles(),4,Method,mixin,ComposeAntTask,getFiles(),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.ComposeAntTask.upToDate(File[] sources; File target),4,Method,mixin,ComposeAntTask,upToDate(File[] sources; File target),,FALSE,FALSE,,TRUE,FALSE,,,private
mixin.ComposeAntTask.compose(File[] sources; File target),4,Method,mixin,ComposeAntTask,compose(File[] sources; File target),,FALSE,FALSE,,TRUE,FALSE,,,private
mixin.ComposeAntTask.asList(FileList fileList),4,Method,mixin,ComposeAntTask,asList(FileList fileList),,FALSE,FALSE,,TRUE,FALSE,,,private
mixin.ComposeAntTask.setAspect(String aspectName),4,Method,mixin,ComposeAntTask,setAspect(String aspectName),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.ComposeAntTask.aspectName,3,Field,mixin,ComposeAntTask,aspectName,,FALSE,FALSE,,TRUE,FALSE,,,private
