Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences,User_comment,Member_modifier,Method_Signature,Earliest_bound,Latest_bound,CodeAnnotation,LOC,FWBelongLevel,NeedsLocalConstructor
streams.ImageStreamCompletableFuture1.applyFiltersAsync(CompletableFuture<Image> imageFuture),4,Method,streams,ImageStreamCompletableFuture1,applyFiltersAsync(CompletableFuture<Image> imageFuture),PLUGIN,TRUE,TRUE,,TRUE,FALSE,streams.ImageStreamCompletableFuture1.applyFiltersAsync(CompletableFuture<Image> imageFuture); BttF says it's a child of streams.ImageStreamCompletableFuture1 THEN it also is fprivate of PLUGIN   ,,private ,applyFiltersAsync(CompletableFuture<Image>),PLUGIN,PLUGIN,@SuppressWarnings("unchecked"),48,2,false
streams.ImageStreamGang.mFilters,3,Field,streams,ImageStreamGang,mFilters,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,streams.ImageStreamGang.mFilters; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   streams.ImageStreamGang.mFilters; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   ,,protected ,,FRAMEWORK,PLUGIN,null,4,1,false
streams.ImageStreamGang.makeFilterDecoratorWithImage(Filter filter; Image image),4,Method,streams,ImageStreamGang,makeFilterDecoratorWithImage(Filter filter; Image image),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected static ,makeFilterDecoratorWithImage(Filter; Image),FRAMEWORK,PLUGIN,null,8,1,false
streams.ImageStreamCompletableFuture2,2,Class,streams,ImageStreamCompletableFuture2,,PLUGIN,TRUE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,16,2,false
streams.ImageStreamCompletableFuture2.ImageStreamCompletableFuture2(Filter[] filters; Iterator<List<URL>> urlListIterator),5,Constructor,streams,ImageStreamCompletableFuture2,ImageStreamCompletableFuture2(Filter[] filters; Iterator<List<URL>> urlListIterator),PLUGIN,TRUE,TRUE,,TRUE,FALSE,streams.ImageStreamCompletableFuture2.ImageStreamCompletableFuture2(Filter[] filters; Iterator<List<URL>> urlListIterator); BttF says it's a child of streams.ImageStreamCompletableFuture2 THEN it also is fprivate of PLUGIN   ,,public ,ImageStreamCompletableFuture2(Filter[]; Iterator<List<URL>>),PLUGIN,PLUGIN,null,7,2,false
streams.ImageStreamCompletableFuture2.processStream(),4,Method,streams,ImageStreamCompletableFuture2,processStream(),PLUGIN,TRUE,TRUE,,TRUE,FALSE,streams.ImageStreamCompletableFuture2.processStream(); BttF says it's a child of streams.ImageStreamCompletableFuture2 THEN it also is fprivate of PLUGIN   ,,protected ,processStream(),PLUGIN,PLUGIN,@Override,100,2,false
streams.ImageStreamCompletableFuture2.makeFilterDecorators(CompletableFuture<Image> imageFuture),4,Method,streams,ImageStreamCompletableFuture2,makeFilterDecorators(CompletableFuture<Image> imageFuture),PLUGIN,TRUE,TRUE,,TRUE,FALSE,streams.ImageStreamCompletableFuture2.makeFilterDecorators(CompletableFuture<Image> imageFuture); BttF says it's a child of streams.ImageStreamCompletableFuture2 THEN it also is fprivate of PLUGIN   ,,private ,makeFilterDecorators(CompletableFuture<Image>),PLUGIN,PLUGIN,null,31,2,false
streams.ImageStreamCompletableFuture2.applyFiltersAsync(CompletableFuture<List<FilterDecoratorWithImage>> decoratedFiltersWithImageFuture),4,Method,streams,ImageStreamCompletableFuture2,applyFiltersAsync(CompletableFuture<List<FilterDecoratorWithImage>> decoratedFiltersWithImageFuture),PLUGIN,TRUE,TRUE,,TRUE,FALSE,streams.ImageStreamCompletableFuture2.applyFiltersAsync(CompletableFuture<List<FilterDecoratorWithImage>> decoratedFiltersWithImageFuture); BttF says it's a child of streams.ImageStreamCompletableFuture2 THEN it also is fprivate of PLUGIN   ,,private ,applyFiltersAsync(CompletableFuture<List<FilterDecoratorWithImage>>),PLUGIN,PLUGIN,null,38,2,false
streams.ImageStreamCompletableFutureBase.filterImageAsync(FilterDecoratorWithImage filterDecoratorWithImage),4,Method,streams,ImageStreamCompletableFutureBase,filterImageAsync(FilterDecoratorWithImage filterDecoratorWithImage),PLUGIN,TRUE,TRUE,,TRUE,FALSE,streams.ImageStreamCompletableFutureBase.filterImageAsync(FilterDecoratorWithImage filterDecoratorWithImage); BttF says it's a child of streams.ImageStreamCompletableFutureBase THEN it also is fprivate of PLUGIN   ,,protected ,filterImageAsync(FilterDecoratorWithImage),PLUGIN,PLUGIN,null,14,2,false
streams.ImageStreamGang.mUrlListIterator,3,Field,streams,ImageStreamGang,mUrlListIterator,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,streams.ImageStreamGang.mUrlListIterator; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   ,,private ,,FRAMEWORK,PLUGIN,null,5,1,false
